Name,Al Brooks,Date,Day Type,Point Earn / Daily ATR,Setup,open,yesterday,收获
wedge bottom +EMA → SPB bull trend,No,2025年5月12日,Small PB Bull,,wedge reversal,Gap Up,,
Bear Trap → Bull Trend →TR,No,2025年5月2日,Bull Trend Day,57,,Gap Up,,
,No,2025年5月1日,,,"TR BO, wedge reversal",Gap Up,bull trend day,50/70 RULE真不错
"bear spike + channel, midday reversal , TR",Yes,2021年1月26日,"ATH, Midday Reversal",,wedge reversal,Gap Up,bull trend day,
DB → bull trend →TR,Yes,2021年1月22日,Trending TR Day,,"Bull H2, Cup and Handle, S&R reversal, wedge reversal","Gap Down, Gap Down + DB",TR,
"FOMC: TR day , failed Bear BO",Yes,2025年5月7日,"Day Chart Broad Channel, Midday Reversal, TR day",,"S&R reversal, failed bear flag, wedge reversal",small Gap up,TR,如果一个bear flag靠近support那么可能会激活，然后reversal up
Trending TR,Yes,2025年5月12日,Trending TR Day,,"HSB, S&R reversal, failed DB, wedge reversal",Gap Up,TR,wedge+S&R胜率更高
"DT open , bear MC then wedge bull→bear→bull trend",Yes,2025年4月1日,TR day,,"Bear L2, TR BO, wedge reversal",Gap Down,bull trend day,1.前一天trend day的50/70 rule
Outside down then outside up,Yes,2021年1月25日,TR day,,"Cup and Handle, tight bull channel, wedge reversal",Gap Up + Wedge Top,TR,wedge 在tight channel中的作用只会是minor reversal; 早盘gap up + wedge top的发现
"bull leg from wedge bottom, then TTR, then TR BO bear spike channel",No,2025年5月21日,Midday Reversal,,"TR BO, wedge reversal",Gap Down,,
"TR, failed bear BO",Yes,2025年5月20日,TR day,,"failed bull flag, wedge reversal",small Gap down,bull trend day,late TR/Triangle BO = 50% will fail
TR day,Yes,2020年10月27日,TR day,,"S&R reversal, wedge reversal","OPEN BOM, no gap","TR, V day","在有S&R支持的情况下，有一些机会错过了，或者晚了。B15 b, B33 S, B53 S。对于parabolic, climax的解读还需要加强.

"
Gap down Double Top at EMA →  TR → Bull Reversal Up,Yes,2020年9月21日,TR day,,"OO, Triangle, failed DB, wedge reversal","Gap Down, Gap Down + DT",bear trend day,注意OO和Triangle的BOM；如果PB很多下影线，证明很弱，一个reversal bar足矣进
TR BO → bear spike and channel → bear BO,Yes,2022年4月11日,"Spike and Channel, Trending TR Day",,"BLSH, TR BO","Gap Down, Gap Down + TR",TR,
Bear trend → Bull Trend,Yes,2020年10月26日,V day,,"open BOM, wedge reversal","Gap Down, OPEN BOM",,MTR back to final flag magnet of preivous trend
Open BOM,Yes,2020年10月22日,Bull Trend Day,,"Cup and Handle, HSB, open BOM",no gap,TR,如果没有gap，可以结合昨天的chart一起看，这里开局实际上是一个bear trend 50PB的bear flag
,Yes,2020年9月22日,"Bull Trend Day, TR day",,"HSB, exhausted bar, wedge reversal","Gap Up, Gap Up + DT",bull trend day,有些绝佳位置我take晚了一个bar，因为没综合考虑到S&R和climax bar
Wedge bear channel → Bull trend reversal up,Yes,2020年10月23日,"TR day, V day",,"MTR, failed bull flag, failed wedge bottom, trigger deny, trigger trap","Gap Up, trend from start",bull trend day,"这里的wedge bottom是below EMA，而且可以参考盘前阻力，发现上方有magnet阻力。
gap up/down 后连续出现同色bar会基本给本日打上基调，这里连续4个bear bar，说明今天可能是bear trend day或者TR day，不大可能是bull trend day
这里B22有1 tick trigger了B21，困住了大量的bull ,之后是巨大的下跌
B63有 shave head deny trigger，说明bull的强势"
micro bull channel → micro bear channel TR day,Yes,2020年10月21日,TR day,,S&R reversal,"no gap, trend from start",TR,当你意识到context，S&R的时候，消除了一些不确定性，可以通过signal更早的入场。在这个TR环境，我标记有些错误，比如在TR 高处buy，不在高处sell。其实在头24bar big up+down就能确定今天的基调 TR day
Bull Trap → Bear Trend →TR,Yes,2020年10月28日,Trend + TR,,"BO+FT, wedge reversal","Bull Trap, Gap Down + DT",,加强关于市场周期的阅读！不只是几个signal bar！
Gap down + DB + SPB Bull,Yes,2023年10月9日,Bull Trend Day,,wedge reversal,"Bear Trap, Gap Down + DB",bull trend day,价格已经运行到DB/DT或者S&R点，就不要去参与，和他们做对往往是不好的选择！
TR Day,Yes,2021年3月2日,TR day,,"Bull H2, wedge reversal",OPEN BOM,bull trend day,"开局B4结合Support位置可以判断是SELL CLIMAX。
面对bear gap开启的，不要急于做wedge bottom reversal,B18的时候 bar数目不大够for MTR"
Bear Trap → Bull Trend → Bear Trend,Yes,2020年10月29日,V day,,"BO+FT, failed bull flag, wedge reversal","Bear Trap, no gap",,"面对强势的trend，second entry是更好的选择，但是有昨日DT支持，所以有可能合理 ： 我标记的B18 S 老师并没有标记。
B28 S有可能是面临支撑，所以老师没标记，但是我标记了，这有可能是2nd leg trap!
"
OPEN TR→ Bull Trend,Yes,2022年7月5日,,,wedge reversal,"Gap Down, OPEN BOM",bull trend day,
TR + Late Bull BO failed [FOMC],Yes,2022年7月6日,TR day,,"Bull Trap, MTR, wedge reversal, 大BO bar等回调","Bull Trap, OPEN BOM, small Gap up",bull trend day,B28穷寇莫追，考虑limit order/ stop order bull已经赚钱+已经3push
